Title,Company,Description,ContractType,Skills
Cloud System Administrator,HRS HOSPITALITY & RETAIL SYSTEMS,Manage data warehouses and optimize query performance.,Statutaire,SQL - Pig - TensorFlow - Data Mining - SQL Server
Data Engineer,Tech Innovators,Provide technical expertise in data analysis and business intelligence.,Stage,SQL Server - Big Data - Kubernetes
Cloud Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Work on data integration and ETL processes to ensure data quality.,CDI,Machine Learning - Node.js - React - JavaScript - Hadoop
Network Architect,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,Freelance,SQL Server - Deep Learning - Data Governance
Data Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Leading the development of machine learning models to optimize business processes.,CDI,Scikit-learn - Deep Learning - Hadoop
Cloud System Integrator,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,CDI,AWS - Cloud Computing - Machine Learning
Business Intelligence Analyst,Data Engineers United,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Spark - Scikit-learn - Data Architecture - Keras
Data Architect,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,CDD,Data Visualization - Hadoop - Pig - Big Data - GCP
Consultant SAP,HRS HOSPITALITY & RETAIL SYSTEMS,Collaborate with stakeholders to implement data-driven strategies.,CDD,Python - Pandas - Data Visualization
Cyber Security Engineer,Data Masters,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Machine Learning - Azure - GCP - NoSQL - JavaScript
Data Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Data Architecture - Node.js - SQL Server - Business Intelligence - Deep Learning
AWS Cloud Architect,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Python - Pig - Power BI - Business Intelligence - Data Governance
NODE.JS Developer,Data Driven,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Pig - Data Mining - React
Big Data Engineer,Machine Learning Labs,Provide technical expertise in data analysis and business intelligence.,Freelance,Azure - NoSQL - SQL Server
Business Intelligence Analyst,Machine Learning Labs,Manage data warehouses and optimize query performance.,CDD,TensorFlow - Tableau - Kubernetes - GCP
Cloud Data Engineer,Data Driven,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Spark - Kubernetes - TensorFlow
AWS Cloud Architect,DataCorp,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Business Intelligence - Tableau - Hadoop
Big Data Engineer,Data Driven,Develop scalable and secure cloud-based data solutions.,Statutaire,Keras - NoSQL - Power BI - Pig
REACT Developer,Tech Solutions,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Hadoop - Machine Learning - SQL
PHP Developer,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Machine Learning - Power BI - Kubernetes - Docker
Network Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Data Governance - Tableau - GCP
QA Tester,Tech Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Data Architecture - Power BI - Kubernetes - GCP - Machine Learning
PHP Developer,Data Engineers United,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Azure - Scikit-learn - Deep Learning - Pig
Database Administrator,AMENTYS,Provide technical expertise in data analysis and business intelligence.,Freelance,Node.js - Kubernetes - Azure - Docker
Cloud Engineer,AFRICASHORE,Manage data warehouses and optimize query performance.,Statutaire,Azure - Pandas - GCP
AI Specialist,Data Masters,Develop scalable and secure cloud-based data solutions.,CDI,Deep Learning - Kubernetes - Scikit-learn - Tableau
Machine Learning Engineer,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,CDD,Machine Learning - Cloud Computing - Docker
Consultant SAP,Tech Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,SQL Server - React - GCP - Hive
AWS Cloud Architect,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Deep Learning - Azure - Tableau - Data Architecture - Hive
Cloud System Administrator,Tech Solutions,Manage data warehouses and optimize query performance.,CDI,Machine Learning - SQL - NoSQL - Node.js
Big Data Engineer,Data Analytics Co.,Leading the development of machine learning models to optimize business processes.,Statutaire,Hive - Data Mining - Cloud Computing
QA Tester,Tech Solutions,Leading the development of machine learning models to optimize business processes.,Statutaire,Python - SQL - Node.js - Keras - Cloud Computing
Sales Manager,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,Stage,Pandas - Hive - Data Governance - R - Node.js
Sales Manager,Data Driven,Develop scalable and secure cloud-based data solutions.,Statutaire,Deep Learning - Azure - Kubernetes - Pig - Java
Business Intelligence Analyst,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Work on data integration and ETL processes to ensure data quality.,CDI,NoSQL - Java - Scikit-learn - Python
Chef de Département,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,CDI,Keras - Numpy - Java - AWS - Big Data
Sales Manager,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,CDD,Machine Learning - Node.js - Numpy - R
Business Intelligence Analyst,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,R - Numpy - AWS
SWIFT Developer,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,Statutaire,Pig - Big Data - R - Machine Learning - Keras
Cloud Engineer,AI Pioneers,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Azure - Oracle - TensorFlow - NoSQL
Database Administrator,AI Pioneers,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Data Visualization - Hive - Cloud Computing
REACT Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Provide technical expertise in data analysis and business intelligence.,Freelance,Pig - Hive - Spark - Data Mining
Cloud Engineer,Future Data,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Power BI - Numpy - Data Visualization
Développeur Python,Future Data,Develop scalable and secure cloud-based data solutions.,Freelance,Data Mining - SQL Server - Node.js
Cyber Security Engineer,AMENTYS,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Data Governance - Numpy - Cloud Computing - Docker - Power BI
Big Data Engineer,Data Analytics Co.,Work on data integration and ETL processes to ensure data quality.,CDI,NoSQL - Data Governance - Scikit-learn - Numpy - GCP
Sales Manager,DataCorp,Provide technical expertise in data analysis and business intelligence.,Freelance,Big Data - Deep Learning - Data Visualization
Cloud System Administrator,Data Engineers United,Leading the development of machine learning models to optimize business processes.,Stage,Data Architecture - Node.js - Cloud Computing - Oracle
PHP Developer,Big Data Services,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,SQL - Hive - Docker
Cloud Data Engineer,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,Stage,GCP - Java - Docker - TensorFlow
Data Analyst,Data Driven,Leading the development of machine learning models to optimize business processes.,CDD,NoSQL - Spark - Big Data
Cloud Data Engineer,AMENTYS,Leading the development of machine learning models to optimize business processes.,Stage,Machine Learning - Oracle - Numpy
Data Analyst,AFRICASHORE,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Kubernetes - React - Data Architecture - Oracle - GCP
QA Tester,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,CDI,GCP - Cloud Computing - Pig
Développeur Python,DataCorp,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Docker - Hive - Oracle
Chef de Département,AMENTYS,Manage data warehouses and optimize query performance.,CDI,Java - Python - JavaScript - React
Cloud Data Engineer,Data Engineers United,Collaborate with stakeholders to implement data-driven strategies.,CDI,R - GCP - Hadoop
Data Architect,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,Stage,Python - Machine Learning - Power BI
NODE.JS Developer,Data Driven,Leading the development of machine learning models to optimize business processes.,Statutaire,Cloud Computing - Tableau - Python - Deep Learning
PHP Developer,Machine Learning Labs,Collaborate with stakeholders to implement data-driven strategies.,Stage,Numpy - Docker - AWS
REACT Developer,Data Driven,Implement data governance frameworks and ensure compliance with data regulations.,Stage,React - Kubernetes - AWS
Sales Manager,Tech Innovators,Work on data integration and ETL processes to ensure data quality.,Freelance,Keras - Business Intelligence - Pig - TensorFlow - Data Visualization
Sales Manager,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Big Data - JavaScript - Machine Learning - NoSQL - Kubernetes
Cloud Data Engineer,Future Data,Work on data integration and ETL processes to ensure data quality.,CDD,JavaScript - Keras - SQL - GCP - Hadoop
NODE.JS Developer,Big Data Services,Manage data warehouses and optimize query performance.,CDD,Data Mining - React - Data Architecture - SQL - Power BI
Sales Manager,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Hive - JavaScript - Oracle - Machine Learning
REACT Developer,Data Driven,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,NoSQL - Keras - Python
JAVASCRIPT Developer,Big Data Services,Work on data integration and ETL processes to ensure data quality.,Freelance,Tableau - Pandas - Data Architecture - Spark - Docker
Data Consultant,AI Pioneers,Manage data warehouses and optimize query performance.,CDI,Java - R - Azure - NoSQL
Big Data Engineer,Tech Solutions,Manage data warehouses and optimize query performance.,Statutaire,Docker - Business Intelligence - NoSQL - Big Data - Cloud Computing
Chef de Département,Data Masters,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Hive - Python - Tableau
Big Data Engineer,Tech Innovators,Work on data integration and ETL processes to ensure data quality.,Stage,Big Data - Spark - GCP
AZURE Solutions Architect,Data Analytics Co.,Work on data integration and ETL processes to ensure data quality.,CDI,Tableau - Kubernetes - Keras - React - Oracle
Sales Manager,Data Masters,Develop and deploy machine learning algorithms to solve complex problems.,Stage,React - Power BI - Scikit-learn
Cloud System Administrator,Tech Innovators,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Azure - TensorFlow - Business Intelligence
Data Governance Lead,Data Driven,Develop scalable and secure cloud-based data solutions.,CDD,AWS - Power BI - Data Visualization - Business Intelligence - Node.js
SWIFT Developer,Big Data Services,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Pandas - Data Visualization - Big Data - Kubernetes - Numpy
AZURE Solutions Architect,Tech Solutions,Develop scalable and secure cloud-based data solutions.,Freelance,Kubernetes - SQL Server - Numpy
Network Architect,Data Masters,Collaborate with stakeholders to implement data-driven strategies.,Stage,Hive - Azure - Hadoop - Big Data - Kubernetes
Network Architect,Tech Innovators,Work on data integration and ETL processes to ensure data quality.,Freelance,Data Mining - Python - Power BI - Big Data
Chef de Département,HRS HOSPITALITY & RETAIL SYSTEMS,Work on data integration and ETL processes to ensure data quality.,CDI,Business Intelligence - Python - Spark - Keras - Azure
Machine Learning Engineer,Data Analytics Co.,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Business Intelligence - Power BI - SQL - Scikit-learn
Database Administrator,Machine Learning Labs,Work on data integration and ETL processes to ensure data quality.,CDD,TensorFlow - Python - Numpy - Azure
Machine Learning Engineer,Machine Learning Labs,Develop scalable and secure cloud-based data solutions.,CDD,Data Mining - SQL Server - JavaScript - Java - Tableau
Network Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Spark - SQL - NoSQL - Keras - Big Data
Business Intelligence Analyst,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,Freelance,SQL Server - Hive - Data Visualization - Pig
Chef de Département,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,SQL - Oracle - React
Développeur Python,AMENTYS,Develop scalable and secure cloud-based data solutions.,Statutaire,Deep Learning - Power BI - Node.js
Data Engineer,AFRICASHORE,Leading the development of machine learning models to optimize business processes.,CDD,GCP - Pig - Data Governance - Hadoop - JavaScript
Cyber Security Engineer,Data Analytics Co.,Leading the development of machine learning models to optimize business processes.,CDD,Deep Learning - NoSQL - Data Architecture - Node.js
Big Data Engineer,Tech Solutions,Work on data integration and ETL processes to ensure data quality.,Statutaire,Machine Learning - Data Mining - JavaScript - GCP
Business Intelligence Analyst,Tech Innovators,Collaborate with stakeholders to implement data-driven strategies.,Freelance,React - Data Architecture - NoSQL - Data Governance
Data Governance Lead,Tech Innovators,Manage data warehouses and optimize query performance.,Statutaire,Pandas - GCP - Machine Learning - Tableau - AWS
NODE.JS Developer,Machine Learning Labs,Design and maintain data architectures and pipelines for large scale data processing.,Stage,TensorFlow - JavaScript - Power BI
Data Governance Lead,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,CDI,React - Machine Learning - Cloud Computing
NODE.JS Developer,Future Data,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Python - React - JavaScript
Data Governance Lead,AMENTYS,Leading the development of machine learning models to optimize business processes.,Stage,NoSQL - Business Intelligence - Data Visualization - Data Governance
Cloud System Integrator,Tech Innovators,Leading the development of machine learning models to optimize business processes.,CDD,Big Data - React - SQL Server - R - Hadoop
Développeur Python,Data Analytics Co.,Leading the development of machine learning models to optimize business processes.,Statutaire,Docker - Tableau - Pig - Data Architecture
Cloud System Integrator,Machine Learning Labs,Manage data warehouses and optimize query performance.,CDI,Business Intelligence - Oracle - Python
AWS Cloud Architect,Big Data Services,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Pandas - Scikit-learn - Deep Learning - Big Data - Numpy
REACT Developer,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Hadoop - Pig - Numpy
Data Governance Lead,DataCorp,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Data Mining - Keras - Java
Cloud Data Engineer,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,Freelance,Numpy - Power BI - NoSQL
Network Architect,AFRICASHORE,Leading the development of machine learning models to optimize business processes.,Statutaire,Pandas - JavaScript - NoSQL
Chef de Département,DataCorp,Leading the development of machine learning models to optimize business processes.,Stage,Kubernetes - Data Mining - Pig
Cyber Security Engineer,Future Data,Leading the development of machine learning models to optimize business processes.,CDD,Numpy - Pig - Data Mining - Data Governance - Node.js
SWIFT Developer,Data Engineers United,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Numpy - Python - SQL - Big Data - Data Visualization
Chef de Département,HRS HOSPITALITY & RETAIL SYSTEMS,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,TensorFlow - SQL Server - Cloud Computing - Power BI
NODE.JS Developer,Tech Innovators,Collaborate with stakeholders to implement data-driven strategies.,CDD,SQL - Java - Data Architecture
Network Architect,AMENTYS,Provide technical expertise in data analysis and business intelligence.,Stage,Hadoop - Oracle - Data Visualization
Cloud System Administrator,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Work on data integration and ETL processes to ensure data quality.,CDI,Numpy - Kubernetes - Tableau
AI Specialist,Machine Learning Labs,Manage data warehouses and optimize query performance.,Stage,Azure - JavaScript - Java - Kubernetes - Data Mining
Sales Manager,Tech Innovators,Collaborate with stakeholders to implement data-driven strategies.,Stage,Pig - SQL Server - Cloud Computing - Data Mining - Business Intelligence
Data Scientist,Data Masters,Work on data integration and ETL processes to ensure data quality.,CDD,Data Architecture - Deep Learning - Power BI - Kubernetes
JAVASCRIPT Developer,Data Engineers United,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Spark - Docker - Data Architecture - GCP - SQL Server
AZURE Solutions Architect,Future Data,Provide technical expertise in data analysis and business intelligence.,Statutaire,Data Visualization - Power BI - Machine Learning
Data Consultant,Tech Innovators,Develop scalable and secure cloud-based data solutions.,CDD,Java - Data Visualization - Machine Learning - Hadoop - R
Consultant SAP,Tech Solutions,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,GCP - Power BI - Spark - Machine Learning
Chef de Département,Tech Solutions,Work on data integration and ETL processes to ensure data quality.,Statutaire,Deep Learning - AWS - Kubernetes - GCP - Spark
Consultant SAP,AI Pioneers,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Data Mining - Node.js - Scikit-learn
Business Intelligence Analyst,Data Masters,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Azure - Docker - Python - Hive - Data Visualization
Cloud Data Engineer,Data Masters,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Big Data - NoSQL - Data Visualization
Data Scientist,Data Engineers United,Work on data integration and ETL processes to ensure data quality.,CDD,Keras - Scikit-learn - Cloud Computing
PHP Developer,Data Masters,Develop scalable and secure cloud-based data solutions.,CDI,Pandas - SQL Server - Data Architecture - Keras - Tableau
AZURE Solutions Architect,Tech Solutions,Collaborate with stakeholders to implement data-driven strategies.,Stage,Azure - TensorFlow - React
Consultant SAP,Future Data,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Tableau - Numpy - Business Intelligence - AWS
AZURE Solutions Architect,Cloud Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,SQL - Spark - JavaScript - Scikit-learn
Data Architect,Cloud Innovators,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Hadoop - Scikit-learn - Data Mining - AWS - Node.js
Database Administrator,Big Data Services,Leading the development of machine learning models to optimize business processes.,Freelance,Pandas - Deep Learning - Data Mining - Keras
AWS Cloud Architect,AFRICASHORE,Provide technical expertise in data analysis and business intelligence.,CDI,Azure - Spark - Machine Learning - React
Consultant SAP,AI Pioneers,Develop scalable and secure cloud-based data solutions.,Freelance,Kubernetes - NoSQL - Data Mining - Numpy
PHP Developer,Data Masters,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Keras - Data Mining - Docker - Hadoop
Data Engineer,Future Data,Manage data warehouses and optimize query performance.,CDI,SQL Server - Data Architecture - Oracle - JavaScript - Data Visualization
Machine Learning Engineer,Machine Learning Labs,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Java - Power BI - Pandas
Cloud System Integrator,AI Pioneers,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Pandas - Data Architecture - AWS - TensorFlow
NODE.JS Developer,Data Driven,Develop scalable and secure cloud-based data solutions.,Stage,Pig - Pandas - Hadoop - Machine Learning - Azure
Data Governance Lead,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,Statutaire,React - Hive - Java - Spark - JavaScript
AZURE Solutions Architect,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,Stage,JavaScript - R - Machine Learning - Pandas - TensorFlow
Machine Learning Engineer,Data Analytics Co.,Work on data integration and ETL processes to ensure data quality.,Stage,AWS - Cloud Computing - Scikit-learn - Pandas - R
Chef de Département,Data Engineers United,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Tableau - Cloud Computing - TensorFlow - Keras
AZURE Solutions Architect,Data Driven,Work on data integration and ETL processes to ensure data quality.,Freelance,Data Mining - Hive - Cloud Computing - React - Data Architecture
Data Scientist,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,R - Tableau - NoSQL - Pig - Cloud Computing
Data Engineer,AI Pioneers,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Spark - GCP - AWS - Data Visualization - TensorFlow
JAVASCRIPT Developer,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,Statutaire,Hive - Machine Learning - TensorFlow
Business Intelligence Analyst,Tech Solutions,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Spark - Data Visualization - Java - Business Intelligence
Network Architect,AI Pioneers,Manage data warehouses and optimize query performance.,Freelance,Tableau - Docker - Scikit-learn - Java
Data Scientist,HRS HOSPITALITY & RETAIL SYSTEMS,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Pig - Business Intelligence - Hive
AZURE Solutions Architect,Data Masters,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Deep Learning - GCP - Python
Cloud System Integrator,Big Data Services,Provide technical expertise in data analysis and business intelligence.,Stage,React - Pandas - R - Numpy
AWS Cloud Architect,Future Data,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Node.js - Pig - Cloud Computing - Big Data
Database Administrator,AMENTYS,Provide technical expertise in data analysis and business intelligence.,CDI,Data Visualization - Pandas - SQL - Kubernetes
NODE.JS Developer,Big Data Services,Work on data integration and ETL processes to ensure data quality.,Stage,GCP - Cloud Computing - Pandas - Keras - SQL
Data Architect,Future Data,Leading the development of machine learning models to optimize business processes.,Stage,GCP - Oracle - Hive
Chef de Département,HRS HOSPITALITY & RETAIL SYSTEMS,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Big Data - Cloud Computing - Data Visualization
Data Scientist,DataCorp,Work on data integration and ETL processes to ensure data quality.,Freelance,Hive - Data Visualization - Data Mining
AI Specialist,Cloud Innovators,Provide technical expertise in data analysis and business intelligence.,Stage,Docker - React - Python - Data Architecture
Data Engineer,HRS HOSPITALITY & RETAIL SYSTEMS,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Kubernetes - SQL - Spark - Hadoop
Développeur Python,Data Engineers United,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Deep Learning - Big Data - Cloud Computing - Kubernetes
Big Data Engineer,Data Masters,Work on data integration and ETL processes to ensure data quality.,CDI,Java - Keras - NoSQL
Machine Learning Engineer,Data Analytics Co.,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Data Mining - Deep Learning - GCP - Scikit-learn
Big Data Engineer,AMENTYS,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Data Governance - Docker - Pandas - Spark
Data Engineer,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,Stage,Python - TensorFlow - Docker - Business Intelligence
REACT Developer,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,CDI,React - Oracle - Numpy
Network Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Provide technical expertise in data analysis and business intelligence.,CDD,Data Mining - GCP - Python - NoSQL
REACT Developer,Data Analytics Co.,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Hadoop - Machine Learning - R - Power BI
Data Analyst,Big Data Services,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Data Visualization - Cloud Computing - Oracle
Big Data Engineer,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,CDI,Tableau - Node.js - Cloud Computing
Cyber Security Engineer,AFRICASHORE,Manage data warehouses and optimize query performance.,Freelance,Data Governance - GCP - Data Mining - Machine Learning - SQL Server
Data Consultant,Future Data,Manage data warehouses and optimize query performance.,CDD,Big Data - Pandas - JavaScript - Kubernetes
Network Architect,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Stage,Pig - Java - Tableau
Database Administrator,Data Engineers United,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Numpy - R - Data Mining
Database Administrator,Tech Solutions,Manage data warehouses and optimize query performance.,CDI,Oracle - Spark - Tableau - Pandas - Data Architecture
AZURE Solutions Architect,Data Engineers United,Provide technical expertise in data analysis and business intelligence.,CDD,Hive - Oracle - Data Architecture - Node.js - Business Intelligence
Data Analyst,HRS HOSPITALITY & RETAIL SYSTEMS,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,GCP - Cloud Computing - Data Governance - Spark
Consultant SAP,HRS HOSPITALITY & RETAIL SYSTEMS,Work on data integration and ETL processes to ensure data quality.,CDI,React - Kubernetes - Business Intelligence
Développeur Python,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,Stage,Data Governance - TensorFlow - SQL - JavaScript
QA Tester,AI Pioneers,Leading the development of machine learning models to optimize business processes.,Freelance,Data Mining - Pandas - Big Data
Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Stage,Data Visualization - JavaScript - R - Pig - Scikit-learn
Cloud System Integrator,Tech Innovators,Manage data warehouses and optimize query performance.,Stage,Azure - Tableau - SQL - Hive - AWS
AI Specialist,Data Masters,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Data Mining - Pandas - SQL Server - JavaScript - SQL
PHP Developer,Data Driven,Leading the development of machine learning models to optimize business processes.,CDD,Business Intelligence - Data Architecture - Power BI - Scikit-learn
JAVASCRIPT Developer,Data Masters,Implement data governance frameworks and ensure compliance with data regulations.,Stage,GCP - Numpy - Business Intelligence - Hadoop - Data Visualization
Big Data Engineer,DataCorp,Work on data integration and ETL processes to ensure data quality.,CDI,Tableau - Azure - AWS - Data Architecture - Data Governance
Data Analyst,Cloud Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Data Visualization - Machine Learning - Oracle
Cloud System Integrator,Future Data,Work on data integration and ETL processes to ensure data quality.,CDD,Node.js - React - Java
JAVASCRIPT Developer,Machine Learning Labs,Manage data warehouses and optimize query performance.,Statutaire,Numpy - TensorFlow - SQL Server - JavaScript - Cloud Computing
Data Analyst,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Data Governance - Machine Learning - Docker - Deep Learning - Data Mining
Data Architect,Data Driven,Leading the development of machine learning models to optimize business processes.,CDD,Node.js - SQL Server - Python - SQL
Chef de Département,Tech Solutions,Develop scalable and secure cloud-based data solutions.,CDD,Scikit-learn - Pig - Oracle - JavaScript - AWS
Cloud Engineer,Data Driven,Manage data warehouses and optimize query performance.,Statutaire,Python - Spark - GCP - Business Intelligence - Hadoop
Machine Learning Engineer,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Power BI - React - Python - Deep Learning - Keras
Data Architect,Machine Learning Labs,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Numpy - Machine Learning - Oracle - Deep Learning
REACT Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,CDD,NoSQL - Oracle - Hive - Data Visualization
Cyber Security Engineer,Tech Solutions,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,R - React - Cloud Computing
Consultant SAP,Data Analytics Co.,Manage data warehouses and optimize query performance.,Statutaire,R - Node.js - Power BI - Hive - Data Mining
Network Architect,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Hive - Pandas - Machine Learning
QA Tester,HRS HOSPITALITY & RETAIL SYSTEMS,Work on data integration and ETL processes to ensure data quality.,Freelance,Data Mining - R - Deep Learning - Business Intelligence
QA Tester,Cloud Innovators,Collaborate with stakeholders to implement data-driven strategies.,CDI,Data Governance - Pandas - Scikit-learn
PHP Developer,AFRICASHORE,Leading the development of machine learning models to optimize business processes.,CDI,Keras - AWS - SQL - TensorFlow - Kubernetes
Cloud Engineer,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,GCP - Python - AWS - Power BI
PHP Developer,AMENTYS,Provide technical expertise in data analysis and business intelligence.,CDD,Business Intelligence - Pig - Python
PHP Developer,Cloud Innovators,Develop scalable and secure cloud-based data solutions.,CDI,Data Architecture - Hive - Numpy - Pig
Data Engineer,Cloud Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Tableau - Pig - Azure
AWS Cloud Architect,Data Driven,Develop and deploy machine learning algorithms to solve complex problems.,CDD,NoSQL - SQL - Hadoop - Java
SWIFT Developer,Cloud Innovators,Provide technical expertise in data analysis and business intelligence.,Freelance,Scikit-learn - TensorFlow - Data Governance - Docker
NODE.JS Developer,AMENTYS,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Big Data - Oracle - SQL Server - Python - Hive
Data Engineer,Cloud Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Deep Learning - Data Visualization - Numpy - SQL
Machine Learning Engineer,Tech Solutions,Leading the development of machine learning models to optimize business processes.,CDI,Cloud Computing - Big Data - NoSQL - Data Mining - Power BI
AZURE Solutions Architect,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,AWS - SQL - SQL Server - Spark
Sales Manager,DataCorp,Collaborate with stakeholders to implement data-driven strategies.,Stage,Pig - Spark - Data Architecture
Sales Manager,Data Engineers United,Develop scalable and secure cloud-based data solutions.,Statutaire,Docker - Machine Learning - Java
